# emoji	category	en keywords	bn keywords	parent	name
🤽	people	person,playing,polo,sport,swimming,water,waterpolo,person playing water polo	ওয়াটার,খেলা,খেলাধুলা,জল,জল ক্রীড়া,পানির খেলাধুলা,পোলো,ব্যক্তি,সাঁতার কাটা,স্পোর্টস,ওয়াটার পোলো		person playing water polo
🤽‍♂️	people	man,playing,polo,sport,swimming,water,waterpolo,man playing water polo	ওয়াটার পোলো,ওয়াটার পোলো খেলছে এমন পুরুষ,খেলাধুলা,ছেলে,জল,জল ক্রীড়া,পানি,পুরুষ,পোলো,ব্যক্তি	🤽	man playing water polo
🤽‍♀️	people	playing,polo,sport,swimming,water,waterpolo,woman,woman playing water polo	ওয়াটার পোলো,ওয়াটার পোলো খেলছে এমন মহিলা,খেলা,জল,জল ক্রীড়া,পানি,পোলো,মহিলা,সাঁতার কাটা,স্পোর্টস	🤽	woman playing water polo
🤾	people	athletics,ball,catch,chuck,handball,hurl,lob,person,pitch,playing,sport,throw,toss,person playing handball	ক্রীড়া,খেলা,চঞ্চল,ছুড়ে মারা,দুরন্ত,বল,ব্যক্তি,হ্যান্ডবল		person playing handball
🤾‍♂️	people	athletics,ball,catch,chuck,handball,hurl,lob,man,pitch,playing,sport,throw,toss,man playing handball	খেলাধুলা,পুরুষ,ব্যক্তি,মানুষ,হ্যান্ডবল,হ্যান্ডবল খেলছে এমন পুরুষ	🤾	man playing handball
🤾‍♀️	people	athletics,ball,catch,chuck,handball,hurl,lob,pitch,playing,sport,throw,toss,woman,woman playing handball	অ্যাথলেটিক্স,উপরে নিক্ষেপ করা,ক্রীড়াবিদ,খেলাধুলা,ছুড়ে মারা,ব্যক্তি,মহিলা,স্পোর্টস,হ্যান্ডবল,হ্যান্ডবল খেলছে এমন মহিলা	🤾	woman playing handball
🤹	people	act,balance,balancing,handle,juggle,juggling,manage,multitask,person,skill,person juggling	এক সাথে অনেকগুলো কাজ করা,ছলনা,জাগলিং,দক্ষতা,নিয়ন্ত্রণ,প্রতারণা,ব্যালেন্স,ভেলকি,মাল্টিটাস্ক		person juggling
🤹‍♂️	people	act,balance,balancing,handle,juggle,juggling,man,manage,multitask,skill,man juggling	এক সাথা অনেকগুলো কাজ করা,একসাথে একাধিক কাজ করা,ক্রীড়া,খেলাধুলা,জাগলিং,নিয়ন্ত্রণ,পরিচালনা,পুরুয,পুরুষ জাগলিং করছে,বশে আনা,বালক,ভারসাম্য	🤹	man juggling
🤹‍♀️	people	act,balance,balancing,handle,juggle,juggling,manage,multitask,skill,woman,woman juggling	এক সাথা অনেকগুলো কাজ করা,খেলাধুলা,জাগলিং,মহিলা,মহিলা জাগলিং করছে	🤹	woman juggling
🧘	people	cross,legged,legs,lotus,meditation,peace,person,position,relax,serenity,yoga,yogi,zen,person in lotus position,in	আধ্যাত্মিক,ইয়োগা,ধ্যান,পদ্মাসন,পদ্মাসনে বসা ব্যক্তি,বাবু হয়ে বসা,যোগা,যোগ		person in lotus position
🧘‍♂️	people	cross,legged,legs,lotus,man,meditation,peace,position,relax,serenity,yoga,yogi,zen,man in lotus position,in	ধ্যান,পদ্মাসনে বসা পুরুষ,যোগা	🧘	man in lotus position
🧘‍♀️	people	cross,legged,legs,lotus,meditation,peace,position,relax,serenity,woman,yoga,yogi,zen,woman in lotus position,in	ধ্যান,পদ্মাসনে বসা মহিলা,যোগা	🧘	woman in lotus position
🛀	people	bath,bathtub,person,taking,tub,person taking bath	গোছল,বাথটব,ব্যক্তি স্নান করছে,স্নান		person taking bath
🛌	people	bed,bedtime,good,goodnight,hotel,nap,night,person,sleep,tired,zzz,person in bed,in	এবার ঘুমাব,কম্বল,খাট,ঘুম,ঘুমাচ্ছে,চাদর,বিছানায় শুয়ে,ব্যক্তি বিছানায় আছেন,লেপ,শোওয়া,হোটেল		person in bed
🧑‍🤝‍🧑	people	bae,bestie,bff,couple,dating,flirt,friends,hand,hold,people,twins,people holding hands,holding,hands	জোড়া,ধরে থাকা,মানুষ,যুগল,হাত,হাত ধরে থাকা,হাত ধরে থাকা লোকেরা		people holding hands
👭	people	bae,bestie,bff,couple,dating,flirt,friends,girls,hand,hold,sisters,twins,women,women holding hands,holding,hands	জোড়,দুজন মহিলা হাত ধরে দাড়িয়ে আছে,ধরে রাখা,নারী,প্রিয় বন্ধু,বন্ধু,বেস্টফ্রেন্ড,বোন,যুগল,হাত		women holding hands
👫	people	bae,bestie,bff,couple,dating,flirt,friends,hand,hold,man,twins,woman,woman and man holding hands,and,holding,hands	কপত-কপতি,জোড়,ধরে রাখা,নারী,পুরুষ,প্রেমিক প্রেমিকা হাত ধরে,প্রেমে হাবুডুব,মহিলা ও পুরুষ হাত ধরে দাড়িয়ে আছে,যুগল,হাত		woman and man holding hands
👬	people	bae,bestie,bff,boys,brothers,couple,dating,flirt,friends,hand,hold,men,twins,men holding hands,holding,hands	জোড়,দুজন পুরুষ,দুজন পুরুষ হার ধরে দাড়িয়ে আছে,পুরুষ,মিথুন,যমজ,রাশিচক্র,হাত,হাত ধরে থাকা		men holding hands
💏	people	anniversary,babe,bae,couple,date,dating,heart,kiss,love,mwah,person,romance,together,xoxo	কপল,কিস,চুমু,চুম্বন,জোড়,যুগল,রোমান্স		kiss
👩‍❤️‍💋‍👨	people	anniversary,babe,bae,couple,date,dating,heart,kiss,love,man,mwah,person,romance,together,woman,xoxo	কপল,কিস,চুমু,চুম্বন,জোড়,পুরুষ,মহিলা,যুগল,রোমান্স	💏	kiss: woman, man
👨‍❤️‍💋‍👨	people	anniversary,babe,bae,couple,date,dating,heart,kiss,love,man,mwah,person,romance,together,xoxo	কপল,কিস,চুমু,চুম্বন,জোড়,পুরুষ,যুগল,রোমান্স	💏	kiss: man, man
👩‍❤️‍💋‍👩	people	anniversary,babe,bae,couple,date,dating,heart,kiss,love,mwah,person,romance,together,woman,xoxo	কপল,কিস,চুমু,চুম্বন,জোড়,মহিলা,যুগল,রোমান্স	💏	kiss: woman, woman
💑	people	anniversary,babe,bae,couple,dating,heart,kiss,love,person,relationship,romance,together,you,couple with heart,with	কিস,জোড়,ভালবাসা,যুগল,রোমান্স,হার্ট,হার্ট সহ দম্পতি		couple with heart
👩‍❤️‍👨	people	anniversary,babe,bae,couple,dating,heart,kiss,love,man,person,relationship,romance,together,woman,you,couple with heart,with	কিস,জোড়,পুরুষ,ভালবাসা,মহিলা,যুগল,রোমান্স,হার্ট,হার্ট সহ দম্পতি	💑	couple with heart: woman, man
👨‍❤️‍👨	people	anniversary,babe,bae,couple,dating,heart,kiss,love,man,person,relationship,romance,together,you,couple with heart,with	কিস,জোড়,পুরুষ,ভালবাসা,যুগল,রোমান্স,হার্ট,হার্ট সহ দম্পতি	💑	couple with heart: man, man
👩‍❤️‍👩	people	anniversary,babe,bae,couple,dating,heart,kiss,love,person,relationship,romance,together,woman,you,couple with heart,with	কিস,জোড়,ভালবাসা,মহিলা,যুগল,রোমান্স,হার্ট,হার্ট সহ দম্পতি	💑	couple with heart: woman, woman
👨‍👩‍👦	people	boy,child,family,man,woman	ছেলে,পরিবার,পুরুষ,বাবা,মহিলা,মা,শিশু,সন্তান	👪	family: man, woman, boy
👨‍👩‍👧	people	child,family,girl,man,woman,parents	পরিবার,পুরুষ,বাবা,মহিলা,মা,মেয়ে,শিশু,সন্তান,মা বাবা	👪	family: man, woman, girl
👨‍👩‍👧‍👦	people	boy,child,family,girl,man,woman,parents,children	ছেলে,পরিবার,পুরুষ,বাবা,মহিলা,মা,মেয়ে,শিশু,সন্তান	👪	family: man, woman, girl, boy
👨‍👩‍👦‍👦	people	boy,child,family,man,woman	ছেলে,পরিবার,পুরুষ,বাবা,মহিলা,মা,শিশু,সন্তান	👪	family: man, woman, boy, boy
👨‍👩‍👧‍👧	people	child,family,girl,man,woman	পরিবার,পুরুষ,বাবা,মহিলা,মা,মেয়ে,শিশু,সন্তান	👪	family: man, woman, girl, girl
👨‍👨‍👦	people	boy,child,family,man	ছেলে,পরিবার,পুরুষ,বাবা,মা,শিশু,সন্তান	👪	family: man, man, boy
👨‍👨‍👧	people	child,family,girl,man	পরিবার,পুরুষ,বাবা,মা,মেয়ে,শিশু,সন্তান	👪	family: man, man, girl
👨‍👨‍👧‍👦	people	boy,child,family,girl,man	ছেলে,পরিবার,পুরুষ,বাবা,মা,মেয়ে,শিশু,সন্তান	👪	family: man, man, girl, boy
👨‍👨‍👦‍👦	people	boy,child,family,man	ছেলে,পরিবার,পুরুষ,বাবা,মা,শিশু,সন্তান	👪	family: man, man, boy, boy
👨‍👨‍👧‍👧	people	child,family,girl,man	পরিবার,পুরুষ,বাবা,মা,মেয়ে,শিশু,সন্তান	👪	family: man, man, girl, girl
